Date,Close/Last,Volume,Open,High,Low
06/30/2023,110.45,4593263,110.43,110.45,110.43
06/29/2023,110.39,2981594,110.40,110.41,110.39
06/28/2023,110.37,4559824,110.36,110.38,110.36
06/27/2023,110.36,2218703,110.35,110.36,110.35
06/26/2023,110.34,2518901,110.34,110.35,110.34
06/23/2023,110.32,2326250,110.32,110.34,110.32
06/22/2023,110.31,2203965,110.32,110.32,110.31
06/21/2023,110.27,2147054,110.27,110.28,110.27
06/20/2023,110.26,2003562,110.28,110.28,110.26
06/16/2023,110.26,3496203,110.26,110.26,110.25
06/15/2023,110.25,3645559,110.24,110.25,110.23
06/14/2023,110.17,1831696,110.18,110.18,110.17
06/13/2023,110.16,2552404,110.15,110.17,110.14
06/12/2023,110.14,2289102,110.13,110.14,110.12
06/09/2023,110.12,3590640,110.12,110.13,110.11
06/08/2023,110.12,2594289,110.11,110.12,110.10
06/07/2023,110.05,1587737,110.065,110.07,110.05
06/06/2023,110.03,2077101,110.04,110.05,110.03
06/05/2023,110.01,2258191,110.01,110.02,110.00
06/02/2023,110.01,3734447,109.99,110.01,109.98
06/01/2023,110.00,3695086,110.00,110.00,109.98
05/31/2023,110.41,2382045,110.41,110.43,110.41
05/30/2023,110.39,2987314,110.405,110.41,110.38
05/26/2023,110.38,1506721,110.38,110.39,110.38
05/25/2023,110.36,2136068,110.37,110.38,110.36
05/24/2023,110.31,2867927,110.32,110.33,110.31
05/23/2023,110.31,5272186,110.29,110.32,110.29
05/22/2023,110.29,1988649,110.295,110.30,110.28
05/19/2023,110.29,2013401,110.29,110.30,110.28
05/18/2023,110.29,1689842,110.29,110.30,110.28
05/17/2023,110.26,2634109,110.26,110.27,110.25
05/16/2023,110.24,3751436,110.25,110.26,110.24
05/15/2023,110.24,3072999,110.24,110.26,110.24
05/12/2023,110.23,14740820,110.25,110.25,110.23
05/11/2023,110.23,17218690,110.24,110.25,110.23
05/10/2023,110.19,1792021,110.18,110.19,110.17
05/09/2023,110.15,1490810,110.17,110.17,110.15
05/08/2023,110.15,1908453,110.14,110.16,110.14
05/05/2023,110.14,2294218,110.14,110.15,110.13
05/04/2023,110.15,3223181,110.13,110.16,110.13
05/03/2023,110.09,2262448,110.10,110.10,110.08
05/02/2023,110.07,1921373,110.06,110.08,110.05
05/01/2023,110.04,2047328,110.065,110.07,110.04
04/28/2023,110.45,2053745,110.44,110.45,110.43
04/27/2023,110.44,2171550,110.44,110.44,110.43
04/26/2023,110.42,1949016,110.415,110.42,110.40
04/25/2023,110.41,1895224,110.40,110.41,110.39
04/24/2023,110.38,2170873,110.38,110.39,110.37
04/21/2023,110.37,1729227,110.37,110.38,110.36
04/20/2023,110.36,1302915,110.34,110.36,110.34
04/19/2023,110.30,1611890,110.29,110.30,110.28
04/18/2023,110.29,1819652,110.28,110.30,110.27
04/17/2023,110.27,1945203,110.27,110.27,110.26
